"Category","Product ID","Product","State","Unit Sales","Dollar Sales"
"Coffee","C141","Espresso","CA",47647,606079
"Coffee","C141","Espresso","CT",22482,279373
"Coffee","C141","Espresso","FL",19730,256539
"Coffee","C141","Espresso","GA",25947,317389
"Coffee","C141","Espresso","IL",32237,420439
"Coffee","C141","Espresso","MA",19698,248356
"Coffee","C141","Espresso","MO",32596,419143
"Coffee","C141","Espresso","NY",25947,322378
"Coffee","C141","Espresso","TN",22353,279644
"Coffee","C141","Espresso","TX",36321,455365
"Coffee","C141","Espresso","WA",24028,301538
"Coffee","C142","Latte","CA",141403,1745509
"Coffee","C142","Latte","CT",74623,926052
"Coffee","C142","Latte","FL",71123,889887
"Coffee","C142","Latte","GA",73707,907365
"Coffee","C142","Latte","IL",77344,978340
"Coffee","C142","Latte","MA",74572,917737
"Coffee","C142","Latte","MO",77347,966981
"Coffee","C142","Latte","NY",73671,928026
"Coffee","C142","Latte","TN",64824,820584
"Coffee","C142","Latte","TX",76932,938245
"Coffee","C142","Latte","WA",72517,924896
"Coffee","C144","Capuccino","CA",46533,586298
"Coffee","C144","Capuccino","CT",12386,158995
"Coffee","C144","Capuccino","FL",24143,317027
"Coffee","C144","Capuccino","GA",27522,352161
"Coffee","C144","Capuccino","MA",15358,174344
"Coffee","C144","Capuccino","NY",17041,208756
"Coffee","C144","Capuccino","TN",21599,274812
"Coffee","C144","Capuccino","WA",24635,309197
"Food","F101","Scone","CA",47688,608423
"Food","F101","Scone","CT",22378,283874
"Food","F101","Scone","FL",24543,311836
"Food","F101","Scone","GA",22863,273420
"Food","F101","Scone","IL",45355,595069
"Food","F101","Scone","MA",25363,332486
"Food","F101","Scone","MO",37602,481953
"Food","F101","Scone","NY",22991,290811
"Food","F101","Scone","TN",26373,315399
"Food","F101","Scone","TX",33170,418398
"Food","F101","Scone","WA",25088,304445
"Food","F102","Biscotti","CA",43760,535548
"Food","F102","Biscotti","CT",46214,589355
"Food","F102","Biscotti","FL",40606,511597
"Food","F102","Biscotti","GA",43639,555231
"Food","F102","Biscotti","IL",29413,378412
"Food","F102","Biscotti","MA",47064,570391
"Food","F102","Biscotti","MO",29188,368077
"Food","F102","Biscotti","NY",51964,642259
"Food","F102","Biscotti","TN",35349,438889
"Food","F102","Biscotti","TX",27504,345238
"Food","F102","Biscotti","WA",26676,328320
"Food","F103","Croissant","CA",131263,1624541
"Food","F103","Croissant","CT",45847,551489
"Food","F103","Croissant","FL",50175,602076
"Food","F103","Croissant","GA",53782,661806
"Food","F103","Croissant","IL",43300,549366
"Food","F103","Croissant","MA",41029,497234
"Food","F103","Croissant","MO",48941,613871
"Food","F103","Croissant","NY",50518,622095
"Food","F103","Croissant","TN",52499,638477
"Food","F103","Croissant","TX",46941,587887
"Food","F103","Croissant","WA",65759,801060
"Gifts","G100","Mug","CA",59763,761325
"Gifts","G100","Mug","CT",31728,392967
"Gifts","G100","Mug","FL",31628,409466
"Gifts","G100","Mug","GA",29746,355447
"Gifts","G100","Mug","IL",30157,376754
"Gifts","G100","Mug","MA",32360,401944
"Gifts","G100","Mug","MO",27040,343852
"Gifts","G100","Mug","NY",27409,349300
"Gifts","G100","Mug","TN",27100,337790
"Gifts","G100","Mug","TX",29521,366337
"Gifts","G100","Mug","WA",34118,427339
"Gifts","G104","Thermos","CA",29743,372728
"Gifts","G104","Thermos","CT",17568,221827
"Gifts","G104","Thermos","FL",15241,195526
"Gifts","G104","Thermos","GA",17678,227482
"Gifts","G104","Thermos","IL",14651,187901
"Gifts","G104","Thermos","MA",16734,203435
"Gifts","G104","Thermos","MO",15592,195686
"Gifts","G104","Thermos","NY",14568,178836
"Gifts","G104","Thermos","TN",16057,209449
"Gifts","G104","Thermos","TX",16344,194319
"Gifts","G104","Thermos","WA",15905,198640
"Gifts","G110","Coffee Grinder","CA",31709,401680
"Gifts","G110","Coffee Grinder","CT",13691,169908
"Gifts","G110","Coffee Grinder","FL",16968,217204
"Gifts","G110","Coffee Grinder","GA",16968,217254
"Gifts","G110","Coffee Grinder","IL",19339,233292
"Gifts","G110","Coffee Grinder","MA",14382,177940
"Gifts","G110","Coffee Grinder","MO",14614,181570
"Gifts","G110","Coffee Grinder","NY",12904,161352
"Gifts","G110","Coffee Grinder","TN",13147,171319
"Gifts","G110","Coffee Grinder","TX",16440,204292
"Gifts","G110","Coffee Grinder","WA",16372,201756
"Gifts","G121","Coffee Pot","CA",31061,400130
"Gifts","G121","Coffee Pot","CT",15523,208209
"Gifts","G121","Coffee Pot","FL",16145,212057
"Gifts","G121","Coffee Pot","GA",18431,232552
"Gifts","G121","Coffee Pot","IL",15785,204828
"Gifts","G121","Coffee Pot","MA",15349,184119
"Gifts","G121","Coffee Pot","MO",14807,190153
"Gifts","G121","Coffee Pot","NY",15313,198452
"Gifts","G121","Coffee Pot","TN",15346,200694
"Gifts","G121","Coffee Pot","TX",16564,204897
"Gifts","G121","Coffee Pot","WA",16371,213494
